audit_id,sample_id,sample_type,split,source,valid_bin,valid_ratio,change_ratio,A_path,B_path,label_path,annotator_1_quality,annotator_2_quality,final_quality,error_type,notes
GFC10K-AUDIT-0014,001899,positive,train,gfc_2018_2020_expansion_central_america_01,0.20-0.40,0.265030,0.479820,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001899.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001899.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001899.png,,,,,
GFC10K-AUDIT-0015,006249,positive,train,gfc_2018_2020_expansion_congo_caf_01,0.10-0.20,0.145432,0.325150,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/006249.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/006249.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/006249.png,,,,,
GFC10K-AUDIT-0016,000767,positive,val,gfc_2018_2020_expansion_congo_angola_01,0.20-0.40,0.213348,0.362609,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000767.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000767.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000767.png,,,,,
GFC10K-AUDIT-0017,002750,positive,test,gfc_2018_2020_borneo_02,0.05-0.10,0.092499,0.251402,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002750.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002750.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002750.png,,,,,
GFC10K-AUDIT-0018,002289,positive,val,gfc_2018_2020_expansion_se_asia_sumatra_02,0.05-0.10,0.065414,0.195241,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002289.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002289.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002289.png,,,,,
GFC10K-AUDIT-0019,002806,positive,val,gfc_2018_2020_expansion_amazon_colombia_01,0.05-0.10,0.081741,0.642710,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002806.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002806.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002806.png,,,,,
GFC10K-AUDIT-0020,007367,positive,test,gfc_2018_2020_expansion_madagascar_east_01,0.20-0.40,0.233078,0.350115,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/007367.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/007367.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/007367.png,,,,,
GFC10K-AUDIT-0021,002208,positive,test,gfc_2018_2020_borneo_02,0.20-0.40,0.276489,0.198565,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002208.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002208.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002208.png,,,,,
GFC10K-AUDIT-0022,005652,positive,test,gfc_2018_2020_amazon_02,0.05-0.10,0.091766,0.160293,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/005652.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/005652.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/005652.png,,,,,
GFC10K-AUDIT-0023,002190,positive,train,gfc_2018_2020_expansion_amazon_bolivia_01,0.10-0.20,0.130661,0.168049,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002190.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002190.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002190.png,,,,,
GFC10K-AUDIT-0024,002049,positive,train,gfc_2018_2020_amazon_01,>=0.40,0.557892,0.064302,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002049.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002049.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002049.png,,,,,
GFC10K-AUDIT-0025,009593,positive,test,gfc_2018_2020_expansion_boreal_siberia_01,0.05-0.10,0.070343,0.331020,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009593.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009593.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009593.png,,,,,
GFC10K-AUDIT-0026,006637,positive,train,gfc_2018_2020_expansion_se_asia_myanmar_01,0.20-0.40,0.210739,0.260445,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/006637.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/006637.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/006637.png,,,,,
GFC10K-AUDIT-0027,006358,positive,test,gfc_2018_2020_expansion_boreal_siberia_01,0.10-0.20,0.107117,0.495869,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/006358.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/006358.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/006358.png,,,,,
GFC10K-AUDIT-0028,001590,positive,val,gfc_2018_2020_expansion_se_asia_papua_01,0.05-0.10,0.055618,0.318793,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001590.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001590.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001590.png,,,,,
GFC10K-AUDIT-0029,003129,positive,test,gfc_2018_2020_expansion_temperate_europe_01,0.05-0.10,0.050720,0.316486,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/003129.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/003129.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/003129.png,,,,,
GFC10K-AUDIT-0030,004263,positive,train,gfc_2018_2020_expansion_boreal_siberia_01,0.20-0.40,0.212036,0.211356,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/004263.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/004263.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/004263.png,,,,,
GFC10K-AUDIT-0031,008778,positive,train,gfc_2018_2020_expansion_congo_cameroon_01,0.10-0.20,0.126465,0.447635,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/008778.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/008778.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/008778.png,,,,,
GFC10K-AUDIT-0032,002356,positive,train,gfc_2018_2020_expansion_temperate_china_01,0.05-0.10,0.057693,0.334568,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002356.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002356.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002356.png,,,,,
GFC10K-AUDIT-0033,003511,positive,train,gfc_2018_2020_expansion_amazon_venezuela_01,0.10-0.20,0.115005,0.665517,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/003511.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/003511.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/003511.png,,,,,
GFC10K-AUDIT-0034,002857,positive,train,gfc_2018_2020_expansion_amazon_colombia_01,0.05-0.10,0.060242,0.244174,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002857.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002857.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002857.png,,,,,
GFC10K-AUDIT-0035,002489,positive,train,gfc_2018_2020_amazon_01,0.10-0.20,0.113037,0.622975,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002489.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002489.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002489.png,,,,,
GFC10K-AUDIT-0036,009815,positive,train,gfc_2018_2020_amazon_02,0.05-0.10,0.072311,0.182739,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009815.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009815.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009815.png,,,,,
GFC10K-AUDIT-0037,009545,positive,val,gfc_2018_2020_amazon_02,0.10-0.20,0.156464,0.493954,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009545.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009545.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009545.png,,,,,
GFC10K-AUDIT-0038,005750,positive,val,gfc_2018_2020_borneo_02,>=0.40,0.605423,0.156564,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/005750.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/005750.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/005750.png,,,,,
GFC10K-AUDIT-0039,000202,positive,train,gfc_2018_2020_expansion_mexico_yucatan_01,0.10-0.20,0.126999,0.754055,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000202.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000202.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000202.png,,,,,
GFC10K-AUDIT-0040,009957,positive,train,gfc_2018_2020_expansion_congo_angola_01,0.10-0.20,0.135925,0.363157,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009957.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009957.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009957.png,,,,,
GFC10K-AUDIT-0041,003531,positive,train,gfc_2018_2020_expansion_temperate_china_01,0.10-0.20,0.121399,0.282931,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/003531.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/003531.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/003531.png,,,,,
GFC10K-AUDIT-0042,006488,positive,train,gfc_2018_2020_expansion_congo_cameroon_01,0.05-0.10,0.091934,0.300747,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/006488.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/006488.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/006488.png,,,,,
GFC10K-AUDIT-0043,003230,positive,test,gfc_2018_2020_expansion_congo_caf_01,0.05-0.10,0.072968,0.421999,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/003230.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/003230.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/003230.png,,,,,
GFC10K-AUDIT-0044,007617,positive,val,gfc_2018_2020_expansion_madagascar_east_01,0.05-0.10,0.090118,0.228581,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/007617.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/007617.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/007617.png,,,,,
GFC10K-AUDIT-0045,008227,positive,train,gfc_2018_2020_expansion_se_asia_borneo_03,0.05-0.10,0.050293,0.504551,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/008227.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/008227.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/008227.png,,,,,
GFC10K-AUDIT-0046,008083,positive,train,gfc_2018_2020_expansion_se_asia_borneo_03,0.20-0.40,0.350128,0.978558,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/008083.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/008083.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/008083.png,,,,,
GFC10K-AUDIT-0047,002583,positive,train,gfc_2018_2020_expansion_mexico_yucatan_01,0.20-0.40,0.312607,0.601211,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/002583.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/002583.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/002583.png,,,,,
GFC10K-AUDIT-0048,001700,positive,train,gfc_2018_2020_borneo_02,0.20-0.40,0.247757,0.806922,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001700.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001700.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001700.png,,,,,
GFC10K-AUDIT-0049,007123,positive,train,gfc_2018_2020_expansion_boreal_siberia_01,0.10-0.20,0.184036,0.141033,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/007123.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/007123.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/007123.png,,,,,
GFC10K-AUDIT-0050,000181,positive,val,gfc_2018_2020_expansion_congo_caf_01,0.05-0.10,0.084167,0.254714,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000181.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000181.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000181.png,,,,,
GFC10K-AUDIT-0051,006187,positive,test,gfc_2018_2020_expansion_congo_angola_01,0.10-0.20,0.110458,0.323111,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/006187.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/006187.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/006187.png,,,,,
GFC10K-AUDIT-0052,000476,positive,val,gfc_2018_2020_expansion_se_asia_myanmar_01,0.10-0.20,0.109222,0.489243,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000476.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000476.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000476.png,,,,,
GFC10K-AUDIT-0053,009245,positive,val,gfc_2018_2020_expansion_congo_angola_01,0.10-0.20,0.103912,0.216300,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009245.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009245.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009245.png,,,,,
GFC10K-AUDIT-0054,007316,positive,val,gfc_2018_2020_expansion_temperate_china_01,0.05-0.10,0.050629,0.166365,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/007316.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/007316.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/007316.png,,,,,
GFC10K-AUDIT-0055,000930,positive,val,gfc_2018_2020_expansion_congo_cameroon_01,0.05-0.10,0.052353,0.265520,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000930.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000930.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000930.png,,,,,
GFC10K-AUDIT-0056,000771,positive,val,gfc_2018_2020_expansion_boreal_canada_01,0.10-0.20,0.106567,0.684708,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/000771.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/000771.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/000771.png,,,,,
GFC10K-AUDIT-0057,009054,positive,test,gfc_2018_2020_expansion_mexico_yucatan_01,0.20-0.40,0.206894,0.074563,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009054.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009054.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009054.png,,,,,
GFC10K-AUDIT-0058,009502,positive,val,gfc_2018_2020_expansion_congo_angola_01,0.05-0.10,0.063751,0.224988,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/009502.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/009502.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/009502.png,,,,,
GFC10K-AUDIT-0059,001630,positive,test,gfc_2018_2020_amazon_01,>=0.40,0.473221,0.184890,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/001630.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/001630.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/001630.png,,,,,
GFC10K-AUDIT-0060,008395,positive,test,gfc_2018_2020_borneo_01,0.05-0.10,0.053406,0.516571,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/008395.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/008395.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/008395.png,,,,,
GFC10K-AUDIT-0061,003712,positive,train,gfc_2018_2020_expansion_amazon_guiana_01,0.20-0.40,0.235428,0.064230,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/A/003712.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/B/003712.png,/Users/zhoujinghe/Documents/Codex/2026-04-30/new-chat/GFC_Forest_256_10k/label/003712.png,,,,,
